tc_no,tags,persona_class,persona,group_name,description,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12
58,ErrorCodes_Test,MorocconMaleAdult,,,UpdateDemographics_Missing input parameter - identity/CNIENumber,AddApplication().Assert(API_CALL),UpdateDemographics_MissingInputParameterIdentityCnienumber().Error(KER-IOV-005),,,,,,,,,,
59,ErrorCodes_Test,MorocconMaleAdult,,,UpdateDemographics_Invalid input parameter - identity/phone,AddApplication().Assert(API_CALL),UpdateDemographics_InvalidInputParameterIdentityPhone().Error(KER-IOV-004),,,,,,,,,,
60,ErrorCodes_Test,MorocconMaleAdult,,,UpdateDemographics_Invalid input parameter - identity/email,AddApplication().Assert(API_CALL),UpdateDemographics_InvalidInputParameterIdentityEmail().Error(KER-IOV-004),,,,,,,,,,
61,Defer,MorocconMaleAdult,,,DeleteApplication_delete operation is not allowed,AddApplication().Assert(API_CALL),DiscardApplication_DeleteOperationIsNotAllowed().Error(PRG_PAM_APP_003),,,,,,,,,,
62,Defer,MorocconMaleAdult,,,DeleteApplication_Document service rest call failed,AddApplication().Assert(API_CALL),DiscardApplication_DocumentServiceRestCallFailed().Error(PRG_PAM_APP_014),,,,,,,,,,
63,Defer,MorocconMaleAdult,,,DeleteApplication_failed to delete the booking,AddApplication().Assert(API_CALL),DiscardApplication_FailedToDeleteTheBooking().Error(PRG_PAM_DOC_016),,,,,,,,,,
64,Defer,MorocconMaleAdult,,,DeleteApplication_failed to delete the pre-registration data,AddApplication().Assert(API_CALL),DiscardApplication_FailedToDeleteThePreRegistrationData().Error(PRG_PAM_APP_004),,,,,,,,,,
65,Defer,MorocconMaleAdult,,,DeleteApplication_Requested preregistration id does not belong to the user,AddApplication().Assert(API_CALL),DiscardApplication_RequestedPreregistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,,,,,,,
66,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Validate Invalid or empty Request Id_(ErrorCode: PRG_PAM_CORE_001),AddApplication().Assert(API_CALL),AddDocuments_ValidateInvalidOrEmptyRequestID().Error(PRG_PAM_CORE_001),,,,,,,,,,
67,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Validate Invalid or empty Request Version_(ErrorCode: PRG_PAM_CORE_002),AddApplication().Assert(API_CALL),AddDocuments_ValidateInvalidOrEmptyRequestVersion().Error(PRG_PAM_CORE_002),,,,,,,,,,
68,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Validate Invalid or empty Request DateTime_(ErrorCode: PRG_PAM_CORE_003),AddApplication().Assert(API_CALL),AddDocuments_ValidateInvalidOrEmptyRequestDateTime().Error(PRG_PAM_CORE_003),,,,,,,,,,
69,Descope,MorocconMaleAdult,,,addDocument_Validate when the date is not current or future date_(ErrorCode: PRG_CORE_REQ_013),AddApplication().Assert(API_CALL),AddDocuments_ValidatePastRequestDate().Error(PRG_CORE_REQ_013),,,,,,,,,,
70,Defer,MorocconMaleAdult,,,addDocument_Validate encryption of document data failed_(ErrorCode: PRG_PAM_CORE_011),AddApplication().Assert(API_CALL),AddDocuments_ValidateEncryptionFailed().Error(PRG_PAM_CORE_011),,,,,,,,,,
71,Defer,MorocconMaleAdult,,,addDocument_Validate document request json parsing failed_(ErrorCode: PRG_PAM_DOC_015),AddApplication().Assert(API_CALL),AddDocuments_ValidateJsonException().Error(PRG_PAM_DOC_015),,,,,,,,,,
72,Defer,MorocconMaleAdult,,,addDocument_Validate document data hashing failed_(ErrorCode: PRG_PAM_CORE_010),AddApplication().Assert(API_CALL),AddDocuments_ValidateHashingFailed().Error(PRG_PAM_CORE_010),,,,,,,,,,
73,Defer,MorocconMaleAdult,,,addDocument_Validate virus scan of uploaded document is failed_(ErrorCode: PRG_PAM_DOC_010),AddApplication().Assert(API_CALL),AddDocuments_ValidateDocumentVirusScanFailed().Error(PRG_PAM_DOC_010),,,,,,,,,,
74,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Validate when uploaded document size is exceeding the configured size_(ErrorCode: PRG_PAM_DOC_007),AddApplication().Assert(API_CALL),AddDocuments_ValidateDocumentExceedingPermittedSize().Error(PRG_PAM_DOC_007),,,,,,,,,,
75,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Validate empty document category code_(ErrorCode: PRG_CORE_REQ_018),AddApplication().Assert(API_CALL),AddDocuments_ValidateInvalidDocumentCategoryCode().Error(PRG_CORE_REQ_018),,,,,,,,,,
76,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Validate empty document type code_(ErrorCode: PRG_CORE_REQ_017),AddApplication().Assert(API_CALL),AddDocuments_ValidateInvalidDocumentType().Error(PRG_CORE_REQ_017),,,,,,,,,,
77,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Validate If language code is empty_(ErrorCode: PRG_CORE_REQ_014),AddApplication().Assert(API_CALL),AddDocuments_ValidateInvalidLanguageCode().Error(PRG_CORE_REQ_014),,,,,,,,,,
78,Defer,MorocconMaleAdult,,,addDocument_Validate when rest call to demographic service fails_(ErrorCode: PRG_PAM_DOC_020),AddApplication().Assert(API_CALL),AddDocuments_ValidateFailedToFetchDemographicRecord().Error(PRG_PAM_DOC_020),,,,,,,,,,
79,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Validate invalid preregistration id or data is not found for that preregistration id_(ErrorCode: PRG_PAM_APP_005),AddApplication().Assert(API_CALL),AddDocuments_ValidateInvalidPreRegID().Error(PRG_PAM_APP_005),,,,,,,,,,
80,Defer,MorocconMaleAdult,,,addDocument_Validate access to document table fails_(ErrorCode: PRG_PAM_DOC_012),AddApplication().Assert(API_CALL),AddDocuments_ValidateDocumentTableNotAccessible().Error(PRG_PAM_DOC_012),,,,,,,,,,
81,Defer,MorocconMaleAdult,,,addDocument_Validate if the document & document details are failed to store_(ErrorCode: PRG_PAM_DOC_009),AddApplication().Assert(API_CALL),AddDocuments_ValidateDocumentUploadFalied().Error(PRG_PAM_DOC_009),,,,,,,,,,
82,ErrorCodes_Test,HOF,,,copyDocument_Validate If source or destination preregistration id is empty_(ErrorCode: PRG_CORE_REQ_001),AddApplicationAll().Assert(ALL),"CopyDocument_ValidateRequestParameterIsMissing()[1,0].Error(PRG_CORE_REQ_001)",,,,,,,,,,
83,ErrorCodes_Test,HOF,,,copyDocument_Validate if document category code is not POA_(ErrorCode: PRG_CORE_REQ_017),AddApplicationAll().Assert(ALL),"CopyDocument_ValidateCatagoryCodeIsInvalid()[1,0].Error(PRG_CORE_REQ_017)",,,,,,,,,,
84,ErrorCodes_Test,HOF,,,copyDocument_Validate If source preregistration id or destination preregistration id is invalid or no preregistration data found for any of the preregistration id_(ErrorCode: PRG_PAM_APP_005),AddApplicationAll().Assert(ALL),"CopyDocument_ValidateNoDataFoundForRequestedPreRegID()[1,0].Error(PRG_PAM_APP_005)",,,,,,,,,,
85,Defer,HOF,,,copyDocument_Validate access to document table fails_(ErrorCode: PRG_PAM_DOC_012),AddApplicationAll().Assert(ALL),"CopyDocument_ValidateDocumentTableNotAccessible()[1,0].Error(PRG_PAM_DOC_012)",,,,,,,,,,
86,Defer,HOF,,,copyDocument_Validate if the document & document details are failed to store_(ErrorCode: PRG_PAM_DOC_009),AddApplicationAll().Assert(ALL),"CopyDocument_ValidateDocumentUploadFailed()[1,0].Error(PRG_PAM_DOC_009)",,,,,,,,,,
87,Defer,HOF,,,copyDocument_Validate when document is not copied from source to destination preregistration id_(ErrorCode: PRG_PAM_DOC_011),AddApplicationAll().Assert(ALL),"CopyDocument_ValidateDocumentCopyFailedFromSourceToDestination()[1,0].Error(PRG_PAM_DOC_011)",,,,,,,,,,
88,Defer,HOF,,,copyDocument_Validate document data hashing failed_(ErrorCode: PRG_CORE_REQ_010),AddApplicationAll().Assert(ALL),"CopyDocument_ValidateHashingFailed()[1,0].Error(PRG_CORE_REQ_010)",,,,,,,,,,
89,Defer,MorocconMaleAdult,,,DeleteDocumentByPreRegID_Validate Documents failed to delete,AddApplication().Assert(API_CALL),AddDocuments(),DeleteDocumentsByPreRegID_ValidateDocumentFailedToDelete().Error(PRG_PAM_DOC_006),,,,,,,,,
90,Defer,MorocconMaleAdult,,,DeleteDocumentByPreRegID_Validate Document table not accessible,AddApplication().Assert(API_CALL),AddDocuments(),DeleteDocumentsByPreRegID_ValidateDocumentTableNotAccessible().Error(PRG_PAM_DOC_012),,,,,,,,,
91,Defer,MorocconMaleAdult,,,DeleteDocument_Validate Documents failed to delete,AddApplication().Assert(API_CALL),AddDocuments(),DeleteDocument_ValidateDocumentFailedToDelete().Error(PRG_PAM_DOC_006),,,,,,,,,
92,Defer,MorocconMaleAdult,,,DeleteDocument_Validate Document table not accessible,AddApplication().Assert(API_CALL),AddDocuments(),DeleteDocument_ValidateDocumentTableNotAccessible().Error(PRG_PAM_DOC_012),,,,,,,,,
93,ErrorCodes_Test,MorocconMaleAdult,,,BookAppointment_Request id is invalid,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_RequestIdIsInvalid().Error(PRG_PAM_CORE_001),,,,,,,,,
94,ErrorCodes_Test,MorocconMaleAdult,,,BookAppointment_Request version is invalid,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_RequestVersionIsInvalid().Error(PRG_PAM_CORE_002),,,,,,,,,
95,ErrorCodes_Test,MorocconMaleAdult,,,BookAppointment_Request timestamp is invalid,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_RequestTimestampIsInvalid().Error(PRG_PAM_CORE_003),,,,,,,,,
96,Descope,MorocconMaleAdult,,,BookAppointment_Request date should be current date,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_RequestDateShouldBeCurrentDate().Error(PRG_CORE_REQ_013),,,,,,,,,
97,Defer,MorocconMaleAdult,,,BookAppointment_Availability not found for the selected time,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_AvailabilityNotFoundForTheSelectedTime().Error(PRG_BOOK_RCI_002),,,,,,,,,
98,ErrorCodes_Test,MorocconMaleAdult,,,BookAppointment_User has not selected time slot,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_UserHasNotSelectedTimeSlot().Error(PRG_BOOK_RCI_003),,,,,,,,,
99,Defer,MorocconMaleAdult,,,BookAppointment_Booking table not found,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_BookingTableNotFound().Error(PRG_BOOK_RCI_005),,,,,,,,,
100,ErrorCodes_Test,MorocconMaleAdult,,,BookAppointment_Registration center id not entered,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_RegistrationCenterIdNotEntered().Error(PRG_BOOK_RCI_007),,,,,,,,,
101,ErrorCodes_Test,MorocconMaleAdult,,,BookAppointment_Booking date time not selected,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_BookingDateTimeNotSelected().Error(PRG_BOOK_RCI_008),,,,,,,,,
102,ErrorCodes_Test,MorocconMaleAdult,,,BookAppointment_INVALID_DATE_TIME_FORMAT,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_InvalidDateTimeFormat().Error(PRG_BOOK_RCI_008),,,,,,,,,
103,Defer,MorocconMaleAdult,,,BookAppointment_Demographic service call failed,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_DemographicServiceStatusCallFailed().Error(PRG_BOOK_RCI_011),,,,,,,,,
104,Defer,MorocconMaleAdult,,,BookAppointment_Demographic service call failed,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_DemographicServiceCallFailed().Error(PRG_BOOK_RCI_012),,,,,,,,,
105,Defer,MorocconMaleAdult,,,BookAppointment_Booking data not found,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_BookingDataNotFound().Error(PRG_BOOK_RCI_013),,,,,,,,,
106,Defer,MorocconMaleAdult,,,BookAppointment_Availablity table not accessible,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_AvailablityTableNotAccessible().Error(PRG_BOOK_RCI_016),,,,,,,,,
107,Defer,MorocconMaleAdult,,,BookAppointment_Availablity update failed,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_AvailablityUpdateFailed().Error(PRG_BOOK_RCI_024),,,,,,,,,
108,Defer,MorocconMaleAdult,,,BookAppointment_Booking status cannot be altered,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_BookingStatusCannotBeAltered().Error(PRG_BOOK_RCI_026),,,,,,,,,
109,Defer,MorocconMaleAdult,,,BookAppointment_Failed to delete the pre registration record,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_FailedToDeleteThePreRegistrationRecord().Error(PRG_BOOK_RCI_028),,,,,,,,,
110,ErrorCodes_Test,MorocconMaleAdult,,,BookAppointment_Invalid Booking Date Time found for preregistration id - 37513708391357,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment_InvalidBookingDateTimeFoundForPreregistrationId().Error(PRG_BOOK_RCI_031),,,,,,,,,
111,Defer,MorocconMaleAdult,,,BookAppointmentAll_Request id is invalid,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_RequestIdIsInvalid().Error(PRG_PAM_CORE_001),,,,,,,,,
112,Defer,MorocconMaleAdult,,,BookAppointmentAll_Request version is invalid,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_RequestVersionIsInvalid().Error(PRG_PAM_CORE_002),,,,,,,,,
113,Defer,MorocconMaleAdult,,,BookAppointmentAll_Request timestamp is invalid,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_RequestTimestampIsInvalid().Error(PRG_PAM_CORE_003),,,,,,,,,
114,Defer,MorocconMaleAdult,,,BookAppointmentAll_Registration center id not entered,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_RegistrationCenterIdNotEntered().Error(PRG_BOOK_RCI_007),,,,,,,,,
115,Defer,MorocconMaleAdult,,,BookAppointmentAll_Booking date time not selected,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_BookingDateTimeNotSelected().Error(PRG_BOOK_RCI_008),,,,,,,,,
116,Defer,MorocconMaleAdult,,,BookAppointmentAll_INVALID_DATE_TIME_FORMAT,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_InvalidDateTimeFormat().Error(PRG_BOOK_RCI_008),,,,,,,,,
117,Defer,MorocconMaleAdult,,,BookAppointmentAll_Availability not found for the selected time,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_AvailabilityNotFoundForTheSelectedTime().Error(PRG_BOOK_RCI_002),,,,,,,,,
118,Defer,MorocconMaleAdult,,,BookAppointmentAll_Demographic service call failed,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_DemographicServiceCallFailed().Error(PRG_BOOK_RCI_012),,,,,,,,,
119,Defer,MorocconMaleAdult,,,BookAppointmentAll_Availability table not accessible,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_AvailabilityTableNotAccessible().Error(PRG_BOOK_RCI_016),,,,,,,,,
120,Defer,MorocconMaleAdult,,,BookAppointmentAll_Booking table not found,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_BookingTableNotFound().Error(PRG_BOOK_RCI_005),,,,,,,,,
121,Defer,MorocconMaleAdult,,,BookAppointmentAll_Availability update failed,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_AvailabilityUpdateFailed().Error(PRG_BOOK_RCI_024),,,,,,,,,
122,Defer,MorocconMaleAdult,,,BookAppointmentAll_Demographic service call failed,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_DemographicServiceStatusCallFailed().Error(PRG_BOOK_RCI_011),,,,,,,,,
123,Defer,MorocconMaleAdult,,,BookAppointmentAll_Booking data not found,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_BookingDataNotFound().Error(PRG_BOOK_RCI_013),,,,,,,,,
124,Defer,MorocconMaleAdult,,,BookAppointmentAll_Booking status cannot be altered,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_BookingStatusCannotBeAltered().Error(PRG_BOOK_RCI_026),,,,,,,,,
125,Defer,MorocconMaleAdult,,,BookAppointmentAll_Failed to delete the pre registration record,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_FailedToDeleteThePreRegistrationRecord().Error(PRG_BOOK_RCI_028),,,,,,,,,
126,Defer,MorocconMaleAdult,,,BookAppointmentAll_Invalid Booking Date Time found for preregistration id - 37513708391357,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointmentAll_InvalidBookingDateTimeFoundForPreregistrationId().Error(PRG_BOOK_RCI_031),,,,,,,,,
127,ErrorCodes_Test,MorocconMaleAdult,,,CancelAppointment_Booking data not found,AddApplication().Assert(API_CALL),AddDocuments(),CancelAppointment_BookingDataNotFound().Error(PRG_BOOK_RCI_013),,,,,,,,,
128,Defer,MorocconMaleAdult,,,CancelAppointment_Availability table not accessible,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment().ASSERT(ALL),CancelAppointment_AvailabilityTableNotAccessible().Error(PRG_BOOK_RCI_016),,,,,,,,
129,Defer,MorocconMaleAdult,,,CancelAppointment_Booking table not found,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment().ASSERT(ALL),CancelAppointment_BookingTableNotFound().Error(PRG_BOOK_RCI_005),,,,,,,,
130,Defer,MorocconMaleAdult,,,CancelAppointment_Availability update failed,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment().ASSERT(ALL),CancelAppointment_AvailabilityUpdateFailed().Error(PRG_BOOK_RCI_024),,,,,,,,
131,Defer,MorocconMaleAdult,,,CancelAppointment_Demographic service call failed,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment().ASSERT(ALL),CancelAppointment_DemographicServiceCallFailed().Error(PRG_BOOK_RCI_011),,,,,,,,
132,Defer,MorocconMaleAdult,,,CancelAppointment_Booking status cannot be altered,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment().ASSERT(ALL),CancelAppointment_BookingStatusCannotBeAltered().Error(PRG_BOOK_RCI_026),,,,,,,,
133,Defer,MorocconMaleAdult,,,CancelAppointment_Appointment cannot be canceled,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment().ASSERT(ALL),CancelAppointment_AppointmentCannotBeCanceled().Error(PRG_BOOK_RCI_018),,,,,,,,
134,Defer,MorocconMaleAdult,,,CancelAppointment_No data found for the requested pre-registration id,AddApplication().Assert(API_CALL),AddDocuments(),BookAppointment().ASSERT(ALL),CancelAppointment_NoDataFoundForTheRequestedPreRegistrationId().Error(PRG_PAM_APP_005),,,,,,,,
135,ErrorCodes_Test,MorocconMaleAdultNumericName,,,Verify create pre-reg application by passing numbers in persona name,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),,,,,,,,,
136,ErrorCodes_Test,MorocconMaleAdultFutureDob,,,Verify create pre-reg application by passing futue date of birth ,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Error(KER-IOV-004),,,,,,,,,
137,ErrorCodes_Test,MorocconMaleAdultInvalidLang,,,Verify create pre-reg application by language code  which is not configured,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),,,,,,,,,
138,ErrorCodes_Test,MorocconMaleAdultInvalidPhone,,,Verify create pre-reg application by passing characters in phone number field,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),,,,,,,,,
139,ErrorCodes_Test,MorocconMaleAdultInvalidEmail,,,Verify create pre-reg application by passing only special char in email field,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),,,,,,,,,
140,ErrorCodes_Test,MorocconMaleAdultInvalidCnie,,,Verify create pre-reg application by passing special char in cnie ield,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Error(KER-IOV-004),,,,,,,,,
141,Positive_Test,MorocconMaleAdult,,,Discard an application after booking an appointment,InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),AddDocuments().Assert(API_CALL),BookAppointment().Assert(API_CALL),DiscardApplication().Assert(API_CALL),,,,,,
142,ErrorCodes_Test,MorocconMaleAdult,,,getApplication_Requested preregistration id does not belong to the user,InvalidateToken(),LoginOtherUser_Email().Assert(DONT),AddApplication().Assert(API_CALL),InvalidateToken(),Login_Email().Assert(DONT),GetApplication_RequestedPreRegistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,,,
143,ErrorCodes_Test,MorocconMaleAdult,,,deleteApplication_Requested preregistration id does not belong to the user,InvalidateToken(),LoginOtherUser_Email().Assert(DONT),AddApplication().Assert(API_CALL),InvalidateToken(),Login_Email().Assert(DONT),DiscardApplication_RequestedPreRegistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,,,
144,ErrorCodes_Test,MorocconMaleAdult,,,addDocument_Requested preregistration id does not belong to the user,InvalidateToken(),LoginOtherUser_Email().Assert(DONT),AddApplication().Assert(API_CALL),InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),AddDocuments_RequestedPreRegistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,,
145,ErrorCodes_Test,MorocconMaleAdult,,,getDocument_Requested preregistration id does not belong to the user,InvalidateToken(),LoginOtherUser_Email().Assert(DONT),AddApplication().Assert(API_CALL),InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),GetDocument_RequestedPreRegistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,,
146,ErrorCodes_Test,MorocconMaleAdult,,,deleteDocument_Requested preregistration id does not belong to the user,InvalidateToken(),LoginOtherUser_Email().Assert(DONT),AddApplication().Assert(API_CALL),AddDocuments().Assert(API_CALL),InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),DeleteDocument_RequestedPreRegistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,
147,ErrorCodes_Test,MorocconMaleAdult,,,bookAppointment_Requested preregistration id does not belong to the user,InvalidateToken(),LoginOtherUser_Email().Assert(DONT),AddApplication().Assert(API_CALL),InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),BookAppointment_RequestedPreRegistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,,
148,ErrorCodes_Test,MorocconMaleAdult,,,getAppointment_Requested preregistration id does not belong to the user,InvalidateToken(),LoginOtherUser_Email().Assert(DONT),AddApplication().Assert(API_CALL),BookAppointment().Assert(API_CALL),InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),GetAppointment_RequestedPreRegistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,
47,ErrorCodes_Test,MorocconMaleAdult,,,UpdateDemographics_Requested preregistration id does not belong to the user,InvalidateToken(),LoginOtherUser_Email().Assert(DONT),AddApplication().Assert(API_CALL),InvalidateToken(),Login_Email().Assert(DONT),AddApplication().Assert(API_CALL),UpdateDemographics_RequestedPreRegistrationIdDoesNotBelongToTheUser().Error(PRG_PAM_APP_017),,,,,
